year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
1995,Daewoo,DAEWOO,5,"['DAEWOO', '•', '5', 'Pas.']", 1250000,  2336,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,Cartago
1980,Toyota,STARLET,5,"['STARLET', '•', '5', 'Pas.']", 1250000,  2336,Gasolina,1000 cc,Manual,Sedán,VINO,BEIGE,Termina en 4,Heredia
1995,Toyota,CAMRY,5,"['CAMRY', '•', '5', 'Pas.']", 1250000,  2336,Gasolina,2200 cc,Manual,Sedán,BLANCO,GRIS,Termina en 1,San José
1991,Nissan,SENTRA E,5,"['SENTRA', 'E', '•', '5', 'Pas.']", 1300000,  2430,Gasolina,1597 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 1,San José
1989,Nissan,SENTRA B12,5,"['SENTRA', 'B12', '•', '5', 'Pas.']", 1300000,  2430,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,Cartago
2004,Fiat,PALIO EX,5,"['PALIO', 'EX', '•', '5', 'Pas.']", 1300000,  2430,Gasolina,1292 cc,Manual,Hatchback,AZUL,GRIS,Termina en 5,Alajuela
1997,Geo,METRO,2,"['METRO', '•', '2', 'Pas.']", 1300000,  2430,Gasolina,1300 cc,Manual,Hatchback,VINO,GRIS,Termina en 3,San José
2000,Daewoo,LANOS,5,"['LANOS', '•', '5', 'Pas.']", 1325000,  2477,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,San José
1998,Chevrolet,METRO,4,"['METRO', '•', '4', 'Pas.']", 1350000,  2523,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 3,San José
2004,Nissan,PLATINA,5,"['PLATINA', '•', '5', 'Pas.']", 1350000,  2523,Gasolina,1600 cc,Manual,Sedán,GRIS,VARIOS,Termina en 7,San José
2003,Chevrolet,CAVALIER,5,"['CAVALIER', '•', '5', 'Pas.']", 1400000,  2617,Gasolina,2200 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
2000,Dodge/RAM,NEON,5,"['NEON', '•', '5', 'Pas.']", 1400000,  2617,Gasolina,2000 cc,Manual,Sedán,BLANCO,GRIS,Termina en 3,San José
1993,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1450000,  2710,Gasolina,1500 cc,Manual,Sedán,ROJO,GRIS,Termina en 8,Heredia
1992,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 1475000,  2757,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 7,Cartago
1994,Nissan,QUEST,7,"['QUEST', '•', '7', 'Pas.']", 1475000,  2757,Gasolina,3000 cc,Automática,Microbús/Minivan,AZUL,AZUL,Termina en 0,Cartago
1997,Mitsubishi,LANCER,5,"['LANCER', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1300 cc,Manual,Sedán,AZUL,GRIS,Termina en 1,Heredia
1994,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1500 cc,Manual,Sedán,ROJO,GRIS,Termina en 0,San José
1984,Volkswagen,SAVEIRO,2,"['SAVEIRO', '•', '2', 'Pas.']", 1500000,  2804,Gasolina,1600 cc,Manual,Pickup 4x2,NEGRO,NEGRO,Termina en 8,San José
1981,Mercedes Benz,280SE,5,"['Benz', '280SE', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,2800 cc,Automática,Sedán,VERDE,VINO,ND,Cartago
1970,Mercedes Benz,220,5,"['Benz', '220', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,2300 cc,Manual,Sedán,AZUL,BLANCO,Termina en 6,Cartago
1992,Dodge/RAM,COLT,5,"['COLT', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1500 cc,Manual,Hatchback,VINO,GRIS,Termina en 6,Alajuela
1994,Geo,PRIZM,5,"['PRIZM', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1600 cc,Manual,Sedán,BEIGE,GRIS,Termina en 1,San José
2000,Nissan,ALTIMA,5,"['ALTIMA', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,2400 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 2,Alajuela
1993,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 5,San José
1984,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1500 cc,Manual,Station Wagon,BEIS,GRIS NEGRO,Termina en 9,San José
1996,Honda,CIVIC,5,"['CIVIC', '•', '5', 'Pas.']", 1500000,  2804,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 6,Alajuela
2005,Hyundai,ELANTRA,5,"['ELANTRA', '•', '5', 'Pas.']", 1550000,  2897,Diesel,2000 cc,Manual,Sedán,ROJO,GRIS,Termina en 4,Heredia
1999,Mazda,PROTEGE,5,"['PROTEGE', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1800 cc,Manual,Sedán,ROJO,GRIS,Termina en 3,San José
1991,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1600 cc,Manual,Sedán,VINO,GRIS,Termina en 8,Alajuela
1991,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1600 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 9,Puntarenas
1994,Pontiac,SUNBIRD,4,"['SUNBIRD', '•', '4', 'Pas.']", 1600000,  2991,Gasolina,2000 cc,Automática,Sedán,CELESTE,NEGRO,Termina en 6,San José
1990,Geo,TRACKER,4,"['TRACKER', '•', '4', 'Pas.']", 1600000,  2991,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,GRIS,Termina en 2,Heredia
1992,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 5,Cartago
1997,Geo,METRO,5,"['METRO', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,San José
1979,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1500 cc,Manual,Sedán,ANARANJADO,NEGRO,Termina en 8,Heredia
2003,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1600000,  2991,Gasolina,1600 cc,Automática,Sedán,AZUL,GRIS,Termina en 8,San José
1990,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1650000,  3084,Gasolina,1600 cc,Automática,Sedán,VINO,GRIS,Termina en 7,Heredia
1994,Geo,TRACKER,4,"['TRACKER', '•', '4', 'Pas.']", 1650000,  3084,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 4,San José
1996,Honda,CIVIC,5,"['CIVIC', '•', '5', 'Pas.']", 1650000,  3084,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
2003,Renault,CLIO SPORT,5,"['CLIO', 'SPORT', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,2000 cc,Manual,Hatchback,ROJO,NEGRO,Termina en 1,Heredia
1986,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1600 cc,Manual,Sedán,CAFÉ,CAFÉ,Termina en 2,San José
1998,Suzuki,SWIFT,4,"['SWIFT', '•', '4', 'Pas.']", 1700000,  3178,Gasolina,1300 cc,Automática,Sedán,AZUL,GRIS,Termina en 5,Puntarenas
1995,Honda,CIVIC,5,"['CIVIC', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1600 cc,Manual,Sedán,AZUL MARINO,BEIGE,Termina en 7,Cartago
2001,Kia,RIO,5,"['RIO', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1500 cc,Manual,Sedán,GRIS,NEGRO Y GRIS,Termina en 5,San José
2007,Peugeot,206 BERLINA,5,"['206', 'BERLINA', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1600 cc,Automática,Hatchback,AZUL,NEGRO,Termina en 8,Guanacaste
2000,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 2,San José
1990,Volvo,760 TDI,5,"['760', 'TDI', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,2300 cc,Automática,Sedán,VINO,BEIGE,Termina en 7,San José
1993,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1800 cc,Manual,Station Wagon,BLANCO,NEGRO,ND,Heredia
2003,Peugeot,206,5,"['206', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1400 cc,Manual,Sedán,AZUL,AZUL Y GRIS,Termina en 3,Alajuela
1998,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 1700000,  3178,Gasolina,1600 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 2,Alajuela
1994,Kia,SPORTAGE,5,"['SPORTAGE', '•', '5', 'Pas.']", 1750000,  3271,Gasolina,2000 cc,Manual,Todo Terreno 4x4,VERDE,GRIS,Termina en 8,Cartago
2003,Peugeot,307 XS,5,"['307', 'XS', '•', '5', 'Pas.']", 1750000,  3271,Gasolina,1600 cc,Manual,Station Wagon,ROJO,GRIS,Termina en 2,Alajuela
1998,Volkswagen,VENTO,5,"['VENTO', '•', '5', 'Pas.']", 1750000,  3271,Gasolina,2000 cc,Manual,Sedán,AZUL,NEGRO,Termina en 8,Alajuela
1995,Geo,PRIZM,5,"['PRIZM', '•', '5', 'Pas.']", 1750000,  3271,Diesel,2000 cc,Manual,Sedán,ROJO,NEGRO,Termina en 7,Alajuela
1994,Geo,TRACKER,5,"['TRACKER', '•', '5', 'Pas.']", 1750000,  3271,Gasolina,1600 cc,Manual,Todo Terreno 4x2,VERDE OSCURO,GRIS,Termina en 6,Alajuela
2005,Mahindra,SCORPIO,8,"['SCORPIO', '•', '8', 'Pas.']", 1800000,  3364,Diesel,2600 cc,Manual,Todo Terreno 4x4,GRIS,NEGRO,Termina en 6,Alajuela
1995,Honda,CIVIC LX,5,"['CIVIC', 'LX', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1500 cc,Manual,Sedán,AZUL,BEIGE,Termina en 8,San José
1998,Mitsubishi,LANCER,5,"['LANCER', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 3,Cartago
1993,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1600 cc,Automática,Sedán,DORADO,GRIS,Termina en 4,Cartago
2005,Fiat,FIORINO,2,"['FIORINO', '•', '2', 'Pas.']", 1800000,  3364,Gasolina,1300 cc,Manual,Pánel,BLANCO,GRIS,Termina en 7,San José
1995,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,Termina en 4,Alajuela
1995,Nissan,200SX,5,"['200SX', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1600 cc,Manual,Sedán,VERDE,NEGRO,Termina en 1,San José
2000,Suzuki,SWIFT,5,"['SWIFT', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1300 cc,Manual,Hatchback,PLATEADO,GRIS,Termina en 4,Cartago
2010,Lifan,320,5,"['320', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1300 cc,Manual,Hatchback,GRIS,BEIGE,Termina en 3,Puntarenas
2001,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,1800 cc,Automática,Sedán,GRIS,BEIGE,Termina en 3,San José
2000,Chevrolet,SPARK,5,"['SPARK', '•', '5', 'Pas.']", 1800000,  3364,Gasolina,800 cc,Manual,Sedán,CREMA,GRIS,Termina en 5,Cartago
1990,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1850000,  3458,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Alajuela
1999,Subaru,FORESTER,5,"['FORESTER', '•', '5', 'Pas.']", 1850000,  3458,Gasolina,2000 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 5,Guanacaste
2002,Peugeot,206,5,"['206', '•', '5', 'Pas.']", 1875000,  3505,Gasolina,1600 cc,Manual,Hatchback,VERDE,NEGRO,Termina en 3,San José
1989,Isuzu,KB,2,"['KB', '•', '2', 'Pas.']", 1899000,  3550,Gasolina,2300 cc,Manual,Pickup 4x2,BLANCO,CELESTE,Termina en 3,San José
1997,Mitsubishi,MIRAGE,5,"['MIRAGE', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1800 cc,Manual,Sedán,BLANCO,BEIGE,Termina en 9,Cartago
2000,Chevrolet,SPARK,5,"['SPARK', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,800 cc,Manual,Hatchback,MOSTAZA,NEGRO,Termina en 1,Alajuela
2002,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 4,San José
1977,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1200 cc,Manual,Sedán,NARANJA,NEGRO,Termina en 5,San José
1993,BMW,318I,5,"['318I', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 3,Alajuela
1992,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1500 cc,Manual,Sedán,CELESTE,NEGRO Y CELESTE,Termina en 9,Heredia
2011,Hyundai,ELANTRA,5,"['ELANTRA', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,1800 cc,Manual,Sedán,GRIS,BEIS,ND,Alajuela
1996,Kia,SPORTAGE,5,"['SPORTAGE', '•', '5', 'Pas.']", 1900000,  3551,Gasolina,2000 cc,Automática,Todo Terreno 4x4,DORADO,CAFÉ,Termina en 8,San José
2008,Jeep,CHEROKEE,5,"['CHEROKEE', '•', '5', 'Pas.']", 1908000,  3566,Diesel,2800 cc,Automática,Pickup 4x4,PLATEADO,NEGRO,Termina en 1,San José
1994,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1950000,  3645,Gasolina,1600 cc,Manual,Sedán,CHANPAGNE,GRIS,Termina en 9,San José
1999,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1950000,  3645,Gasolina,1500 cc,Manual,Sedán,CAFE,CAFE,Termina en 4,San José
2001,Hyundai,ACCENT,5,"['ACCENT', '•', '5', 'Pas.']", 1950000,  3645,Gasolina,1500 cc,Manual,Hatchback,DORADO,BEIGE,Termina en 8,Alajuela
2007,Chevrolet,SPARK,5,"['SPARK', '•', '5', 'Pas.']", 1990000,  3720,Gasolina,800 cc,Manual,Hatchback,NEGRO MATE,GRIS-NEGRO,Termina en 0,San José
1994,Jeep,GRAND CHEROKEE,5,"['GRAND', 'CHEROKEE', '•', '5', 'Pas.']", 1999999,  3738,Gasolina,4000 cc,Automática,Todo Terreno 4x4,AZUL,BEIGE,Termina en 4,Guanacaste
2004,Peugeot,206 BERLINA,5,"['206', 'BERLINA', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1600 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 6,San José
1991,Buick,ROADSTER,5,"['ROADSTER', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,5000 cc,Automática,Station Wagon,ROJO VINO,Gris oscuro,Termina en 2,San José
1996,Toyota,4RUNNER,5,"['4RUNNER', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,3400 cc,Automática,Todo Terreno 4x4,BLANCO,BEIGE,Termina en 0,Alajuela
2008,Hyundai,ELANTRA,5,"['ELANTRA', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1600 cc,Manual,Sedán,GRIS OSCURO,GRIS OSCURO,Termina en 3,San José
1987,Mazda,B2000,2,"['B2000', '•', '2', 'Pas.']", 2000000,  3738,Diesel,2000 cc,Manual,Pickup 4x2,AZUL,BEIGE,Termina en 2,Heredia
1987,Mercedes Benz,200E,5,"['Benz', '200E', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,2000 cc,Automática,Sedán,CELESTE,GRIS,Termina en 2,San José
1994,Suzuki,SIDEKICK,5,"['SIDEKICK', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1600 cc,Manual,Todo Terreno 4x4,BLANCO,GRIS,Termina en 4,Heredia
1993,Hyundai,GALLOPER,7,"['GALLOPER', '•', '7', 'Pas.']", 2000000,  3738,Diesel,2500 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 7,Puntarenas
1995,BMW,318I,4,"['318I', '•', '4', 'Pas.']", 2000000,  3738,Gasolina,1800 cc,Manual,Sedán,VINO,BEIGE,Termina en 8,San José
1997,Mitsubishi,LANCER GL,5,"['LANCER', 'GL', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1298 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 2,Guanacaste
2000,Chevrolet,BLAZER,5,"['BLAZER', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,2400 cc,Automática,Todo Terreno 4x2,VERDE,CAFE,Termina en 4,San José
1996,Dodge/RAM,"CARAVAN • 7 Pas. Combustible: Gasolina Cilindrada: 3800 cc Transmisión: Automática Estilo: Microbús/Minivan SE RECIBE VEHICULO DE MENOR VALOR Color Exterior: BLANCO Color Interior: BEIGE Placa: Termina en 7 Provincia: Limón ¢ 2,000,000 ($",Ver,"['CARAVAN', '•', '7', 'Pas.', 'Combustible:', 'Gasolina', 'Cilindrada:', '3800', 'cc', 'Transmisión:', 'Automática', 'Estilo:', 'Microbús/Minivan', 'SE', 'RECIBE', 'VEHICULO', 'DE', 'MENOR', 'VALOR', 'Color', 'Exterior:', 'BLANCO', 'Color', 'Interior:', 'BEIGE', 'Placa:', 'Termina', 'en', '7', 'Provincia:', 'Limón', '¢', '2,000,000', '($', '3,738)*', 'Ver', 'Detalles']", 2000000,  3738,Gasolina,3800 cc,Automática,Microbús/Minivan,BLANCO,BEIGE,Termina en 7,Limón
2004,Suzuki,FORENZA,5,"['FORENZA', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,2000 cc,Automática,Sedán,GRIS,NEGRO/GRIS,Termina en 8,Limón
1990,Subaru,E12,8,"['E12', '•', '8', 'Pas.']", 2000000,  3738,Gasolina,1189 cc,Manual,Microbús/Minivan,BLANCO,NEGRO,Termina en 0,San José
2000,Mazda,323,5,"['323', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 9,San José
1991,Toyota,COROLLA LE,5,"['COROLLA', 'LE', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1800 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,San José
1991,Mazda,B2200,3,"['B2200', '•', '3', 'Pas.']", 2000000,  3738,Gasolina,2200 cc,Manual,Pickup 4x2,GRIS,GRIS,Termina en 3,Limón
2002,Renault,CLIO,5,"['CLIO', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1400 cc,Manual,Sedán,AZUL,NEGRO,Termina en 4,Heredia
1981,Volkswagen,VANAGON GL,7,"['VANAGON', 'GL', '•', '7', 'Pas.']", 2000000,  3738,Gasolina,2000 cc,Manual,Station Wagon,VERDE,CAFÉ Y ROJO,Termina en 8,Heredia
2005,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 2000000,  3738,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 2,San José
1997,Ssang Yong,MUSSO,5,"['Yong', 'MUSSO', '•', '5', 'Pas.']", 2100000,  3925,Diesel,2900 cc,Manual,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 5,San José
1998,Nissan,200SX,5,"['200SX', '•', '5', 'Pas.']", 2100000,  3925,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS OSCURO,Termina en 2,San José
2001,Nissan,ALMERA,5,"['ALMERA', '•', '5', 'Pas.']", 2100000,  3925,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 0,Heredia
1996,Geo,TRACKER,4,"['TRACKER', '•', '4', 'Pas.']", 2100000,  3925,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,NEGRO,Termina en 8,San José
2000,Nissan,SENTRA,5,"['SENTRA', '•', '5', 'Pas.']", 2100000,  3925,Gasolina,1800 cc,Manual,Sedán,VERDE OSCURO,BEIGE CLARO,Termina en 8,Cartago
1991,Nissan,D21,2,"['D21', '•', '2', 'Pas.']", 2100000,  3925,Gasolina,2400 cc,Manual,Pickup 4x2,CELESTE,GRIS,Termina en 9,Alajuela
2000,Mitsubishi,"MIRAGE • 5 Pas. Combustible: Gasolina Cilindrada: 1500 cc Transmisión: Manual Estilo: Sedán Lindo. Todo al dia. Color Exterior: PLATA Color Interior: NEGRO Placa: Termina en 3 Provincia: San José ¢ 2,200,000 ($",Ver,"['MIRAGE', '•', '5', 'Pas.', 'Combustible:', 'Gasolina', 'Cilindrada:', '1500', 'cc', 'Transmisión:', 'Manual', 'Estilo:', 'Sedán', 'Lindo.', 'Todo', 'al', 'dia.', 'Color', 'Exterior:', 'PLATA', 'Color', 'Interior:', 'NEGRO', 'Placa:', 'Termina', 'en', '3', 'Provincia:', 'San', 'José', '¢', '2,200,000', '($', '4,112)*', 'Ver', 'Detalles']", 2200000,  4112,Gasolina,1500 cc,Manual,Sedán,PLATA,NEGRO,Termina en 3,San José
1998,Honda,CIVIC,5,"['CIVIC', '•', '5', 'Pas.']", 2150000,  4019,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 5,Cartago
